dna_ID,Country,Site,Region,Date,Latitude,Longitude,Sex,combo_prs,asMales_prs,asFemales_prs,sexspec_prs
DER036,Germany,Derenburg,North Central,7000,51.87,10.91,F,-0.504451473,-0.045511465,-0.767626285,-0.06871456
DER037,Germany,Derenburg,North Central,7000,51.87,10.91,F,0.694213046,1.250597146,-0.148710453,1.182237177
HBS002,Germany,Halberstadt,North Central,6975,51.9,11.05,M,0.044823324,-1.026667696,-0.481086351,-0.447248117
HBS004,Germany,Halberstadt,North Central,6975,51.9,11.05,M,-0.27930261,-1.007589973,0.453924979,0.490957235
HBS005,Germany,Halberstadt,North Central,6975,51.9,11.05,M,0.671764806,0.897880636,-0.322468503,-0.288088427
HBS006,Germany,Halberstadt,North Central,6975,51.9,11.05,M,-1.345992282,-0.85389621,-0.514624465,-0.480900798
HBS007,Germany,Halberstadt,North Central,6975,51.9,11.05,M,-0.498745946,-0.568575744,-0.713360998,-0.68031622
HBS008,Germany,Halberstadt,North Central,6975,51.9,11.05,M,1.168548756,0.772462691,0.836749758,0.875089753
HBS009,Germany,Halberstadt,North Central,6975,51.9,11.05,M,-1.056912261,-1.136026888,-0.835362198,-0.802734179
I0046_published,Germany,Halberstadt-Sonntagsfeld,North Central,7051,51.9,11.05,F,1.864679909,1.006761359,0.570005293,0.946896714
I0048_published,Germany,Halberstadt-Sonntagsfeld,North Central,7056,51.9,11.05,M,0.323987757,0.773197388,-0.273659879,-0.239113071
I0054,Germany,Unterwiederstedt,North Central,7072,51.66,11.53,F,0.186827544,1.098216774,-1.037820664,1.03516579
I0056,Germany,Halberstadt-Sonntagsfeld,North Central,7059,51.89,11.04,M,1.210109698,0.727237419,1.309031224,1.348984545
I0057_published,Germany,Halberstadt-Sonntagsfeld,North Central,7070,51.9,11.05,F,-0.190143596,0.337637892,0.479791188,0.30108574
I0100,Germany,Halberstadt-Sonntagsfeld,North Central,6977,51.9,11.05,F,1.398362821,0.965124163,0.961208085,0.906710172
I0659_published,Germany,Halberstadt-Sonntagsfeld,North Central,7037,51.9,11.05,M,0.664417518,-0.572427893,-0.055344515,-0.020051936
I0795,Germany,Karsdorf,North Central,7079,51.28,11.65,M,-1.202183749,-0.728596792,-1.116266295,-1.084597852
I0797,Germany,Karsdorf,North Central,7125,51.28,11.65,M,0.598730813,0.39984748,0.061941151,0.097634381
I0821_published,Germany,Halberstadt-Sonntagsfeld,North Central,6976,51.9,11.05,M,-0.869507653,-0.732849844,0.181433915,0.217535335
I1550_published,Germany,Halberstadt-Sonntagsfeld,North Central,7125,51.9,11.05,F,0.144336813,0.031897552,0.525529421,0.005997499
I2005_published,Germany,Halberstadt-Sonntagsfeld,North Central,7126,51.9,11.05,F,-0.128293085,-0.184058091,-0.939226103,-0.202434173
