dna_ID,PC1,PC2,Ethnicity,Region
hungary20,0.0353,-0.0062,Hungarian,modern
lithuania1,0.0508,-0.0032,Lithuanian,modern
lithuania8,0.0518,-7.00E-04,Lithuanian,modern
iran16,-0.02,0.0412,Iranian,modern
Lebanon2,-0.0326,0.006,Lebanese,modern
saudi1424,-0.0655,-0.0329,Saudi,modern
SaudiA9,-0.0459,9.00E-04,Saudi,modern
Jordan307,-0.0399,-0.0097,Jordanian,modern
BulgarianH2,0.0134,-0.0014,Bulgarian,modern
hungary2,0.0341,-2.00E-04,Hungarian,modern
lithuania2,0.054,-0.0025,Lithuanian,modern
iran17,-0.0223,0.0377,Iranian,modern
syria6,-0.0469,0.0053,Syrian,modern
Lebanon3,-0.031,0.0034,Lebanese,modern
Jordan503,-0.0363,0.0102,Jordanian,modern
BulgarianF2,0.0208,0.001,Bulgarian,modern
HungarianD1,0.0261,-1.00E-04,Hungarian,modern
LithuanianD1,0.0507,-0.0044,Lithuanian,modern
syria7,-0.0472,0.0029,Syrian,modern
Lebanon4,-0.0485,-0.0071,Lebanese,modern
SaudiA1,-0.0676,-0.0309,Saudi,modern
Jordan646,-0.0428,-6.00E-04,Jordanian,modern
Jordan384,-0.0442,-0.0037,Jordanian,modern
bal102,-3.00E-04,0.0491,Balkar,modern
bal64,-0.0015,0.0509,Balkar,modern
mg43,-0.0117,0.0544,Georgian,modern
NorthOssetia19,-0.0017,0.0549,Ossetian,modern
ch126,1.00E-04,0.0525,Chechen,modern
abh27,-0.0101,0.0517,Abkhasian,modern
armenia176,-0.0208,0.0287,Armenian,modern
lez38,-0.0031,0.0456,Lezgin,modern
bal124,-0.001,0.0481,Balkar,modern
bal97,-0.0063,0.0532,Balkar,modern
mg47,-0.0135,0.0501,Georgian,modern
NorthOssetia2,-0.0051,0.0543,Ossetian,modern
ch16,-0.0018,0.0473,Chechen,modern
abh107,-0.0123,0.055,Abkhasian,modern
abh41,-0.0092,0.056,Abkhasian,modern
armenia191,-0.0172,0.0331,Armenian,modern
lez40,0.0019,0.052,Lezgin,modern
kumyks44,-0.0046,0.0461,Kumyk,modern
bal136,-0.0013,0.0473,Balkar,modern
mg22,-0.0129,0.0495,Georgian,modern
mg49,-0.015,0.0517,Georgian,modern
NorthOssetia3,-2.00E-04,0.0511,Ossetian,modern
ch174,0.0031,0.0467,Chechen,modern
abh119,-0.0129,0.0529,Abkhasian,modern
armenia86,-0.0173,0.0295,Armenian,modern
armenia279,-0.0264,0.0289,Armenian,modern
bal22,-0.0012,0.0491,Balkar,modern
mg23,-0.0147,0.0488,Georgian,modern
mg62,-0.0162,0.052,Georgian,modern
NorthOssetia5,-0.0035,0.0527,Ossetian,modern
ch179,-7.00E-04,0.0487,Chechen,modern
abh122,-0.0107,0.0472,Abkhasian,modern
armenia91,-0.0243,0.0292,Armenian,modern
armenia293,-0.0205,0.0365,Armenian,modern
lez49,0.0016,0.0455,Lezgin,modern
kumyks93,-0.0017,0.049,Kumyk,modern
bal41,-0.0025,0.0508,Balkar,modern
mg27,-0.0168,0.0517,Georgian,modern
NorthOssetia11,-5.00E-04,0.0461,Ossetian,modern
NorthOssetia8,-0.0036,0.0531,Ossetian,modern
ch193,-0.0031,0.0526,Chechen,modern
abh133,-0.0117,0.0601,Abkhasian,modern
armenia102,-0.0159,0.0325,Armenian,modern
lez31,0.0016,0.0456,Lezgin,modern
lez7,-0.0011,0.0476,Lezgin,modern
kumyks98,-0.0016,0.0459,Kumyk,modern
bal42,-9.00E-04,0.0504,Balkar,modern
mg31,-0.0128,0.0474,Georgian,modern
NorthOssetia12,-0.0033,0.0544,Ossetian,modern
NorthOssetia9,-3.00E-04,0.0524,Ossetian,modern
ch21,0.003,0.0532,Chechen,modern
abh147,-0.0119,0.0546,Abkhasian,modern
armenia106,-0.0175,0.0351,Armenian,modern
lez33,0.0021,0.045,Lezgin,modern
lez9,0.0029,0.0452,Lezgin,modern
kumyks90,0.0045,0.0465,Kumyk,modern
bal45,-0.0015,0.0527,Balkar,modern
