WHG EF ID Region Sex
1e-05 0.99999 I0698_published balkan M
0.99999 1e-05 Canes.SG HG F
0.99999 1e-05 Chan.SG HG F
0.044 0.956 I4062 mediterranean F
0.10522 0.89478 I4065 mediterranean F
1e-05 0.99999 I3708 balkan F
0.054909 0.945091 I4063 mediterranean F
0.99999 1e-05 Ranchot88_published_d HG F
0.220624 0.779376 I7550 mediterranean F
0.13407 0.86593 I10942 mediterranean F
0.99999 1e-05 I8130 HG M
0.170915 0.829085 atp005.SG mediterranean M
0.136779 0.863221 mur.SG mediterranean M
0.099849 0.900151 I1583_published anatoliaEF M
0.156788 0.843212 I8134 mediterranean F
0.048503 0.951497 I4064 mediterranean M
0.16898 0.83102 TOR.11.SG mediterranean F
0.197808 0.802192 TOR.6.SG mediterranean F
0.216654 0.783346 TOR.7.SG mediterranean F
0.146112 0.853888 TOR.8.SG mediterranean F
0.99999 1e-05 BAL051_merged HG M
0.1278 0.8722 CHA001_merged mediterranean M
0.118616 0.881384 CHA002_merged mediterranean M
0.104884 0.895116 CHA003_merged mediterranean M
0.153329 0.846671 CHA004.A0102 mediterranean F
0.99999 1e-05 CMS001_merged HG F
0.057221 0.942779 FUC003_merged mediterranean M
0.128436 0.871564 R1014.SG mediterranean M
0.018724 0.981276 R10.SG mediterranean F
0.99999 1e-05 R11.SG HG M
0.99999 1e-05 R15.SG HG M
0.057823 0.942177 R16.SG mediterranean F
0.077548 0.922452 R17.SG mediterranean M
0.029731 0.970269 R18.SG mediterranean F
0.048336 0.951664 R19.SG mediterranean M
0.003758 0.996242 R2.SG mediterranean F
0.000444 0.999556 R3.SG mediterranean F
0.157752 0.842248 R6.SG mediterranean M
0.99999 1e-05 R7.SG HG M
1.9e-05 0.999981 R8.SG mediterranean F
0.003512 0.996488 R9.SG mediterranean M
1e-05 0.99999 I1579_published anatoliaEF F
1e-05 0.99999 I1581_published anatoliaEF F
1e-05 0.99999 I1580_published anatoliaEF F
1e-05 0.99999 I0854_published anatoliaEF F
1e-05 0.99999 I1298_published balkan F
0.128946 0.871054 LON003 mediterranean M
0.205973 0.794027 MA79 mediterranean F
0.136021 0.863979 NOE001 mediterranean M
0.136433 0.863567 NOE002 mediterranean M
0.106619 0.893381 SID005 mediterranean M
0.99999 1e-05 PER503.SG HG F
0.99999 1e-05 PER3023.SG HG F
0.99999 1e-05 PER3123.SG HG M
