site,culture,region,ID,species,n. of samples,d13C,unc,d15N,unc,%C,%N,C:N,reference,comment
Stuttgart-Mühlhausen,LBK,South Central,,Aurochs?,1.00,-20.90,0.10,7.9,0.20,,,,Knipper 2020,
Stuttgart-Mühlhausen,LBK,South Central,,Sheep/goat,1.00,-20.70,0.10,5.8,0.20,,,,Knipper 2020,
Stuttgart-Mühlhausen,LBK,South Central,,Sheep/goat,1.00,-21.40,0.10,7.4,0.20,,,,Knipper 2020,
Stuttgart-Mühlhausen,LBK,South Central,,Sheep/goat,1.00,-20.60,0.10,7.8,0.20,,,,Knipper 2020,
Herxheim,LBK,South Central,,Bos taurus ,1.00,-21.20,,7.0,,,,,Dürrwächter et al. 2006,
Herxheim,LBK,South Central,,Cervus elaphus,4.00,-21.50,0.90,5.7,0.60,,,,Dürrwächter et al. 2006,
Derenburg ,LBK,North Central,D animal 1 ,cattle,1.00,-20.20,,7.0,,43.30,15.60,3.20,Oelze et al. 2010,
D-r-nburg ,LBK,North Central,D animal 2 ,cattle ,1.00,-20.10,,7.1,,37.50,13.50,3.20,Oelze et al. 2010,
Derenburg ,LBK,North Central,D animal 4 ,cattle ,1.00,-19.60,,7.7,,40.50,14.20,3.30,Oelze et al. 2010,
Derenburg ,LBK,North Central,D animal 9 ,cattle ,1.00,-20.20,,7.3,,44.20,15.90,3.20,Oelze et al. 2010,
Derenburg ,LBK,North Central,D animal 3 ,cattle ,1.00,-21.40,,7.3,,41.80,15.10,3.20,Oelze et al. 2010,
Derenburg ,LBK,North Central,D animal 8 ,goat/sheep ,1.00,-20.50,,7.0,,41.80,15.20,3.20,Oelze et al. 2010,
Halberstadt ,LBK,North Central,H animal 1 ,cattle ,1.00,-20.50,,7.2,,35.40,12.80,3.20,Oelze et al. 2010,
Halberstadt ,LBK,North Central,H animal 2 ,cattle ,1.00,-21.60,,5.8,,41.50,15.20,3.20,Oelze et al. 2010,
